Brain - Cortex;Brain - Cerebellum;Brain - Frontal Cortex (BA9);Brain - Caudate (basal ganglia);Brain - Nucleus accumbens (basal ganglia);Brain - Putamen (basal ganglia);Brain - Hypothalamus;Brain - Spinal cord (cervical c-1);Brain - Hippocampus;Brain - Anterior cingulate cortex (BA24);Brain - Cerebellar Hemisphere;Brain - Substantia nigra;Brain - Amygdala
231;447;235;89;78;39;130;252;46;85;434;102;34
226;459;240;98;83;45;107;236;43;72;449;90;34
220;452;231;89;86;46;128;248;52;86;439;109;43
233;448;247;98;80;51;129;245;50;85;444;96;40
256;463;263;100;80;41;121;236;51;87;439;89;42
252;454;250;101;94;50;105;228;54;92;443;83;37
234;460;241;86;75;52;111;262;43;73;445;93;33
234;420;243;94;95;52;131;249;65;85;409;96;46
228;467;220;90;88;46;136;245;45;74;458;98;37
242;439;246;92;79;48;122;253;54;86;426;102;44
237;443;248;93;83;41;129;250;53;78;432;110;40
226;465;239;83;89;44;120;243;40;76;456;89;39
232;448;242;109;86;50;119;244;53;79;441;99;41
226;453;236;88;86;44;121;248;58;82;441;103;40
229;464;257;78;62;35;120;238;32;83;462;91;28
247;450;251;98;89;51;110;240;47;79;439;92;38
233;438;231;105;106;47;120;236;57;87;422;95;45
237;447;223;91;89;50;117;248;54;81;429;102;42
243;450;234;94;81;49;118;239;44;82;436;94;41
228;477;238;83;86;37;117;248;45;76;455;95;36
227;453;220;85;89;37;125;251;58;79;437;103;40
249;443;256;88;86;43;121;239;52;86;431;91;35
238;452;247;84;83;46;132;258;48;81;433;100;40
239;450;242;80;75;37;116;256;43;81;436;97;38
240;456;232;97;93;42;119;222;57;83;445;79;45
249;455;256;91;88;40;119;220;42;88;446;81;34
250;461;263;75;73;36;117;247;36;91;444;86;31
240;442;224;93;81;50;125;250;58;78;423;113;41
234;445;231;100;88;49;131;239;54;87;435;103;49
248;453;248;92;85;44;117;241;49;84;443;93;47
214;465;224;95;86;41;119;252;41;70;451;100;35
250;445;218;99;97;46;117;237;48;77;440;93;44
257;445;261;94;96;39;112;238;52;95;430;89;35
253;454;250;80;83;40;119;233;48;86;447;94;41
249;435;246;105;89;50;124;241;54;89;428;87;39
234;448;254;90;83;42;122;237;54;87;437;96;51
240;437;241;104;83;49;112;237;51;91;426;98;41
235;471;242;88;78;44;114;233;50;63;456;92;30
238;442;256;88;86;46;126;250;51;75;430;94;37
251;445;246;97;85;48;139;232;59;85;429;92;42
248;452;242;106;90;43;123;231;57;80;444;92;44
267;453;244;85;91;45;130;237;44;78;443;92;32
223;441;240;86;82;45;115;275;54;75;435;98;41
247;453;242;91;79;42;126;250;56;81;444;83;38
236;464;240;83;88;43;127;241;52;89;457;97;38
259;450;251;106;98;44;116;236;53;84;437;94;41
222;452;226;79;79;44;128;261;51;78;435;117;34
247;451;243;94;91;48;128;255;46;75;434;100;42
239;425;245;101;86;44;133;254;56;88;418;110;38
230;457;241;91;77;43;121;249;62;77;443;98;41
235;459;222;90;85;41;127;253;58;87;442;100;43
247;476;256;84;86;34;109;237;40;78;466;81;34
238;448;256;93;94;49;110;236;52;76;433;98;42
254;457;249;89;74;46;122;232;49;85;443;99;45
240;447;236;83;84;39;112;272;48;77;434;113;43
222;463;220;82;74;41;114;247;52;77;451;103;44
246;443;255;92;97;48;119;242;43;91;438;87;38
248;443;251;89;86;46;125;251;57;81;435;102;46
247;442;251;85;78;48;128;248;61;85;442;98;37
244;449;251;92;77;45;131;238;55;83;438;110;47
250;451;248;77;71;43;121;247;46;71;446;97;40
242;448;243;102;87;46;120;231;50;83;431;92;41
247;448;243;94;105;53;116;252;41;84;438;95;29
249;452;231;92;98;43;118;234;49;77;439;92;35
246;450;256;102;85;52;114;253;45;91;430;93;46
241;456;252;101;95;51;123;228;45;79;448;90;38
239;458;244;81;78;45;121;250;53;78;457;83;41
233;447;241;85;85;46;116;254;48;82;438;95;35
250;453;245;83;86;40;115;240;47;83;441;93;40
227;458;241;87;87;46;115;252;46;80;451;94;30
234;456;245;96;97;47;104;238;42;75;445;87;28
222;462;224;76;84;35;116;263;47;75;453;94;35
249;457;263;87;97;42;127;225;57;94;447;87;41
244;462;246;79;83;33;109;225;36;88;443;87;39
258;446;250;83;80;34;123;244;56;82;437;105;36
227;470;236;87;82;41;109;244;40;82;463;86;36
236;464;250;75;75;39;116;253;50;83;448;99;32
235;452;234;87;82;46;113;256;47;86;440;97;40
232;461;228;90;82;36;117;236;55;70;448;80;36
234;443;233;94;82;51;124;255;50;72;436;100;37
241;447;243;88;82;39;119;249;57;82;435;103;36
248;452;248;92;87;50;116;236;54;90;444;94;43
257;453;262;89;80;48;112;238;50;90;432;92;36
228;468;215;74;73;31;117;247;48;76;453;107;28
236;441;238;88;91;51;119;265;51;81;426;99;42
245;444;255;102;94;49;121;242;49;91;431;87;36
242;448;244;105;81;50;120;226;45;85;437;90;34
222;457;252;90;83;41;127;239;49;77;450;100;39
238;453;246;82;80;37;128;250;52;87;443;99;40
237;442;257;101;103;54;122;231;50;83;429;96;46
258;454;258;83;91;46;128;237;53;88;436;97;42
237;454;242;94;92;50;106;260;49;76;440;99;39
253;452;254;92;83;44;111;236;58;83;438;103;36
244;450;234;86;68;39;117;246;58;75;438;93;37
231;434;237;94;81;39;113;251;56;83;423;102;39
242;464;242;79;76;38;119;244;50;81;443;101;46
240;460;250;76;76;32;120;232;54;83;441;90;40
246;469;245;80;75;39;117;252;59;82;460;90;33
242;451;222;86;69;36;118;260;51;76;436;95;39
231;447;251;92;81;45;128;250;52;83;441;105;45
248;446;247;84;85;42;118;239;46;85;444;89;43
246;468;246;77;71;34;124;242;44;81;450;91;38
235;472;231;85;75;43;120;241;48;85;459;84;42
235;446;231;92;81;42;133;231;48;83;442;105;34
244;453;243;94;99;51;117;262;39;84;446;89;43
232;449;227;97;100;48;120;240;51;71;434;106;40
240;483;242;83;76;38;108;233;52;79;465;90;44
220;466;219;84;88;40;110;249;41;72;454;92;32
261;437;228;96;95;48;146;260;58;87;424;112;45
248;446;252;93;83;49;140;259;57;83;425;113;44
263;467;253;92;96;39;126;229;47;78;455;92;40
230;455;245;88;81;38;135;248;46;71;445;91;44
234;450;228;88;83;42;118;238;54;85;437;94;39
229;448;249;91;88;40;115;241;48;90;439;97;42
245;461;260;93;90;44;108;223;50;85;449;79;43
247;453;258;93;87;44;114;237;53;97;442;101;48
229;452;240;90;80;46;112;248;50;83;439;90;35
231;451;238;89;79;41;121;259;52;80;444;98;36
239;446;250;94;79;51;120;249;48;85;435;93;36
243;445;239;105;88;49;118;240;62;79;436;97;46
241;448;257;84;77;45;125;267;60;81;434;100;43
249;439;259;86;86;44;119;240;54;87;433;92;38
237;444;248;81;85;41;122;251;51;92;441;108;31
217;444;240;91;77;45;120;241;50;73;442;93;44
218;453;215;82;83;43;122;258;48;65;438;103;37
234;465;254;88;84;44;102;257;50;77;457;87;35
213;458;229;86;86;44;122;246;45;78;448;104;46
252;451;257;79;84;43;130;247;61;89;436;96;42
252;466;242;76;68;37;109;251;43;72;461;89;32
250;450;247;87;82;55;131;246;48;89;435;93;41
248;467;235;82;83;39;119;241;49;79;452;97;36
247;457;261;82;81;39;114;221;51;81;453;88;36
247;446;246;91;82;48;123;259;48;90;436;104;38
226;444;228;91;89;51;118;249;52;71;436;94;35
231;470;219;93;85;41;106;231;49;78;460;81;34
236;441;234;87;74;43;128;262;54;80;438;109;35
235;450;246;97;90;56;120;237;48;79;434;83;42
236;446;233;79;73;44;118;251;53;75;442;103;37
244;458;239;91;88;48;122;237;43;76;453;85;38
258;443;245;101;79;50;119;245;47;84;435;98;40
239;454;245;86;96;40;118;245;56;79;442;95;37
246;458;245;86;88;42;118;248;41;84;451;89;41
232;443;249;91;89;44;119;237;53;88;432;99;46
247;459;229;88;94;43;118;237;46;79;448;87;32
237;453;229;88;74;41;120;244;49;76;447;101;30
225;450;233;94;86;48;120;240;53;81;438;99;38
239;447;243;95;97;49;110;252;55;87;436;102;39
241;448;262;93;86;46;131;243;51;84;444;107;44
262;433;252;95;87;50;124;232;60;92;425;97;49
252;457;253;83;88;38;112;237;54;79;449;85;38
255;459;250;82;81;40;113;232;51;82;445;87;38
233;453;237;97;99;51;111;246;46;89;443;87;35
249;454;249;81;87;33;119;247;49;87;441;97;30
224;474;235;87;85;39;105;245;42;71;464;91;41
242;442;238;95;86;46;123;244;55;86;431;107;42
228;435;231;103;87;47;128;259;55;80;420;104;40
229;472;236;79;80;46;102;248;44;77;458;93;46
239;442;244;100;101;46;128;238;57;79;434;97;46
245;451;236;84;85;44;114;253;57;73;446;94;39
235;457;250;88;86;42;122;263;55;80;449;101;37
238;445;250;99;94;55;116;236;47;87;429;84;45
244;461;247;90;93;40;119;238;50;78;446;88;39
221;455;224;99;89;42;125;252;52;70;443;96;45
234;471;241;70;70;43;107;251;51;75;459;92;30
254;443;242;89;84;43;99;248;56;73;437;89;38
236;484;240;87;84;49;112;234;32;67;472;80;30
249;443;240;106;96;63;130;231;46;85;429;97;47
236;462;238;88;82;43;110;250;43;63;452;97;26
224;459;230;93;82;48;105;247;46;73;444;91;37
242;438;238;92;81;41;123;250;63;89;432;101;49
224;436;237;83;84;43;128;248;62;79;434;108;39
238;452;237;87;82;50;114;251;46;72;441;96;32
232;459;247;96;91;46;121;231;44;75;449;83;34
240;466;241;82;81;42;108;241;49;82;451;85;38
232;462;237;91;79;50;121;245;57;80;447;99;37
253;442;254;94;87;48;122;231;45;82;428;84;39
239;448;232;103;89;46;123;253;56;79;435;106;40
231;453;238;79;68;34;131;262;44;75;446;100;31
234;441;242;91;78;55;119;247;50;80;431;108;35
248;453;259;81;93;36;101;256;49;85;440;96;40
249;464;251;85;83;39;112;250;47;76;453;92;29
247;454;245;83;94;45;121;264;54;78;438;104;44
241;450;242;96;97;50;122;226;51;78;428;97;46
250;434;248;97;94;44;129;244;56;98;430;101;45
235;438;257;82;83;42;128;241;52;89;435;108;43
248;476;234;79;75;44;115;230;49;74;467;85;41
242;455;240;93;81;42;103;234;49;80;433;99;42
243;455;248;99;87;45;125;228;46;91;442;88;38
248;460;245;87;90;43;121;233;43;79;456;92;35
243;452;250;85;89;43;134;240;49;88;442;96;37
221;461;233;83;84;43;112;256;47;77;445;91;36
233;453;243;79;80;44;119;236;47;76;443;85;39
239;463;255;94;100;48;109;225;41;75;447;86;34
246;445;239;89;86;45;129;248;46;92;431;98;34
231;452;221;94;87;44;126;240;46;70;433;98;30
232;456;242;91;96;39;121;243;50;91;448;99;43
230;460;244;89;84;47;120;241;57;73;447;94;40
236;458;246;87;82;47;103;244;48;76;452;94;35
242;441;247;89;91;41;121;233;54;83;435;91;39
238;440;231;91;90;40;123;241;49;77;439;109;42
237;454;243;97;99;51;126;251;40;85;436;78;45
247;459;255;94;87;47;132;236;47;82;454;82;36
250;463;247;77;81;35;117;241;44;82;449;89;40
227;457;255;89;82;42;141;246;48;83;449;97;35
223;460;234;93;86;42;120;258;63;78;445;98;38
237;448;254;91;84;36;128;235;54;86;440;95;35
228;448;236;93;74;48;105;241;49;69;443;93;37
237;458;233;92;85;48;121;245;56;85;443;91;35
243;454;249;87;82;42;121;246;51;95;442;98;50
232;452;230;96;83;43;122;251;51;81;442;99;40
253;439;254;104;94;47;124;245;56;88;427;102;36
248;455;246;97;90;47;117;234;47;84;445;91;43
235;461;250;87;75;49;116;249;46;77;450;89;35
228;464;233;93;76;45;110;246;49;85;449;87;43
249;456;252;87;78;40;130;227;51;77;445;91;36
249;463;250;93;86;47;123;234;44;88;457;92;35
233;445;238;92;87;42;125;236;56;88;434;92;45
242;460;226;90;84;41;126;238;57;84;444;99;41
261;450;259;101;90;48;120;241;50;85;435;88;50
245;461;240;81;65;40;110;237;51;69;444;97;37
243;451;253;94;88;43;123;234;52;90;429;93;43
224;462;242;90;83;40;113;261;46;72;442;96;32
239;437;251;95;94;47;131;250;50;81;432;101;41
236;442;241;92;94;56;123;240;60;87;432;89;44
244;436;237;89;78;48;112;258;57;83;424;88;46
250;464;243;76;76;34;133;232;45;82;449;98;35
239;458;248;93;83;37;123;235;58;69;439;94;36
244;448;253;79;75;45;113;252;46;84;445;91;38
246;469;243;79;77;36;114;219;48;78;459;87;39
231;460;238;96;98;50;113;254;55;73;451;98;39
258;456;252;97;85;36;128;233;62;80;441;91;36
238;466;233;83;75;35;120;246;54;71;453;103;38
247;446;250;91;86;42;119;233;50;88;444;100;42
230;461;243;94;91;45;113;237;42;75;450;91;45
239;444;242;96;96;49;134;249;61;87;433;102;48
223;440;236;97;85;50;116;243;59;85;432;98;48
245;451;242;98;85;41;126;248;56;85;437;104;37
265;434;265;99;97;49;133;245;50;97;419;98;51
262;451;265;89;91;51;113;239;48;77;440;91;31
237;448;248;96;84;45;125;241;42;79;441;96;39
234;452;252;96;90;44;119;224;36;82;443;93;32
265;455;257;84;97;39;126;224;56;87;448;86;49
228;458;229;88;81;40;117;261;54;74;447;101;35
235;446;223;96;94;39;135;253;61;78;432;105;45
224;465;242;75;70;35;118;254;51;74;461;89;41
245;433;249;105;83;46;127;241;48;81;427;99;38
221;444;228;102;94;46;127;239;51;81;443;90;42
250;449;234;93;97;48;125;222;56;83;436;92;41
249;453;234;96;91;49;113;238;43;79;446;88;39
246;468;233;71;75;32;123;229;50;85;455;90;36
228;467;234;90;75;43;111;250;42;70;453;88;33
239;461;247;86;88;46;114;233;47;85;450;97;35
219;456;229;93;84;46;110;249;44;73;449;97;38
230;444;233;78;78;34;122;255;50;71;440;97;29
243;457;245;101;98;52;121;242;51;83;447;87;42
248;464;244;78;74;32;111;227;57;79;448;94;41
249;459;242;87;87;44;129;226;48;85;449;89;46
241;453;241;96;102;49;104;226;41;72;430;77;35
243;469;255;85;72;34;102;239;51;79;454;88;33
237;455;249;87;89;43;125;238;55;79;441;85;45
232;458;232;78;91;39;117;230;50;71;446;91;42
231;456;244;85;90;46;122;227;57;83;444;93;39
240;472;249;82;78;45;109;243;45;83;457;80;35
234;450;247;78;68;36;124;241;53;81;438;91;40
228;440;248;101;95;42;120;260;64;88;431;105;47
237;452;240;91;80;46;126;232;55;71;442;87;36
228;452;224;99;86;49;108;250;45;80;437;96;38
243;458;243;102;96;44;124;232;48;90;438;92;42
253;460;230;86;84;49;116;246;44;79;444;95;34
250;459;240;82;88;41;111;236;50;90;445;91;35
241;450;235;90;89;43;117;231;57;94;439;99;52
240;466;243;73;75;37;118;237;48;74;452;87;28
229;458;245;83;87;40;120;243;50;83;451;90;31
243;455;241;85;79;40;122;243;48;77;448;97;40
230;462;248;84;83;47;119;247;60;84;450;90;40
239;449;238;101;87;42;134;255;45;92;437;100;36
246;460;242;96;84;44;122;235;51;91;443;95;38
241;450;238;86;70;49;115;248;50;78;448;105;36
258;452;236;88;86;42;122;260;51;74;439;99;44
234;457;230;81;82;37;128;242;48;88;445;86;46
225;458;240;78;68;35;119;274;54;69;441;94;36
223;447;247;89;88;48;120;229;52;84;428;105;45
236;463;237;79;74;43;128;245;40;71;456;97;27
233;458;248;79;77;42;120;250;51;71;444;103;39
245;447;238;96;104;51;125;246;49;83;437;97;43
252;436;245;103;97;49;127;246;50;88;421;98;40
213;448;226;80;89;41;121;243;53;75;447;100;43
221;449;220;78;72;38;107;259;51;70;440;111;37
249;458;249;95;87;41;125;239;48;79;440;101;30
251;449;251;96;85;46;115;237;39;85;440;85;39
249;449;248;87;94;54;120;232;51;85;433;93;42
251;447;251;77;81;34;128;255;52;89;434;109;37
223;444;227;103;100;51;128;250;49;74;434;104;44
222;461;232;85;79;42;117;246;55;75;447;100;42
259;446;263;103;96;47;121;232;52;81;434;89;45
242;451;248;93;89;47;125;246;41;88;439;91;38
235;460;240;79;82;31;132;248;49;79;448;93;35
238;452;242;98;85;49;133;249;53;86;435;94;43
246;448;250;85;77;44;113;242;59;78;434;94;37
237;444;250;91;85;42;114;251;43;82;439;100;37
234;449;241;84;77;45;116;236;35;80;440;108;42
234;443;248;96;90;48;137;234;50;88;436;90;41
228;470;240;86;77;43;108;254;46;68;458;94;29
246;460;248;80;82;45;120;246;53;82;442;94;38
229;446;231;88;92;43;117;258;44;68;440;112;35
256;458;245;96;94;49;104;232;50;81;451;83;40
244;448;247;105;91;46;124;237;55;82;432;96;44
230;467;246;83;92;36;115;235;49;69;456;95;31
233;452;237;84;90;46;116;250;53;73;446;101;36
255;462;259;96;87;45;125;239;47;85;451;77;31
221;454;235;97;86;45;121;248;56;80;444;103;34
253;456;256;81;86;42;116;239;45;79;436;89;42
244;464;243;82;81;39;122;240;43;87;450;85;39
255;451;246;84;90;43;122;223;56;83;438;93;39
251;448;242;94;82;49;117;262;48;80;439;103;45
235;451;238;93;84;43;119;245;42;66;434;102;35
223;446;240;89;87;50;127;240;54;76;443;105;33
231;458;228;86;83;36;131;234;54;77;452;95;35
248;455;244;89;90;49;108;238;37;80;444;110;39
238;445;246;94;85;48;120;239;59;82;441;91;49
256;471;252;77;76;40;110;215;47;83;458;85;48
232;458;247;84;83;34;121;253;48;75;446;95;36
236;454;241;96;90;49;121;243;58;76;451;88;39
238;462;241;90;86;46;122;233;57;76;449;94;38
249;443;252;91;89;41;124;252;48;96;433;94;46
239;452;235;77;88;40;122;255;56;81;441;93;34
250;464;240;89;84;42;118;214;44;83;459;78;38
241;444;250;85;83;35;120;247;59;84;431;98;50
236;441;254;84;82;42;120;247;53;71;430;105;33
222;453;223;84;97;47;127;258;59;70;447;98;34
241;448;243;104;88;55;108;239;47;78;436;97;42
256;456;267;88;86;33;118;246;55;86;447;92;34
219;450;238;101;87;55;122;250;55;88;437;100;41
235;440;247;78;89;40;121;241;50;76;429;93;34
234;461;229;79;76;41;107;236;49;70;455;89;36
249;448;255;97;87;45;113;235;60;90;437;81;47
225;463;248;80;87;39;124;255;40;87;451;90;34
230;447;242;103;79;57;134;246;52;80;436;102;37
245;430;257;96;90;48;122;246;53;91;423;115;42
245;466;245;86;83;38;110;240;44;83;454;83;33
248;450;237;99;88;42;126;226;52;93;435;92;39
234;456;235;88;82;43;120;234;49;70;441;95;40
249;470;266;75;83;36;133;249;48;79;456;86;45
241;438;246;87;80;41;130;249;53;84;423;90;38
235;461;233;83;77;46;126;232;48;80;445;97;40
244;453;244;96;85;54;110;242;56;69;440;90;36
230;459;242;96;82;44;116;251;53;80;444;103;41
229;445;230;105;87;48;119;234;47;76;438;93;38
247;471;244;79;74;28;108;244;45;85;451;88;37
239;456;248;97;84;41;123;241;48;88;440;96;39
247;447;246;98;88;42;124;257;51;79;440;91;42
246;452;234;104;95;58;112;233;46;85;435;82;36
236;458;234;83;83;43;123;242;52;78;439;99;45
238;445;242;90;90;54;121;256;56;70;437;111;32
239;445;238;95;96;44;129;244;57;83;438;96;41
258;458;241;94;82;41;120;237;44;89;445;102;41
239;461;239;93;77;42;136;244;43;81;448;101;34
239;446;222;92;87;42;130;237;48;74;438;97;39
218;462;227;92;68;50;122;243;45;72;451;86;42
250;458;236;97;97;49;113;231;47;81;447;94;38
209;449;221;96;85;47;120;275;49;76;441;101;41
244;464;227;82;81;42;99;243;44;69;450;88;29
246;450;237;100;84;46;131;240;53;80;429;107;39
248;447;239;88;80;50;112;260;57;99;426;115;46
243;453;237;95;91;42;118;249;54;83;433;93;44
243;460;255;93;84;47;115;240;54;80;450;90;37
236;467;233;87;86;45;99;238;47;76;459;90;36
234;456;246;93;97;43;118;220;49;94;434;96;34
236;440;248;101;87;45;129;247;52;82;433;103;43
241;469;237;94;86;50;119;239;50;82;453;94;32
233;464;236;89;85;38;112;235;46;67;455;78;39
235;455;237;93;87;48;124;232;44;79;445;87;45
232;445;233;97;85;48;115;244;58;80;439;82;41
239;440;233;106;88;51;122;225;56;77;430;111;32
235;472;235;82;77;39;106;235;49;72;464;94;34
235;463;235;84;82;43;118;238;47;92;445;96;29
207;472;221;80;83;40;114;230;51;80;465;79;42
244;454;240;82;82;42;110;232;57;82;440;86;40
241;462;246;96;81;44;115;233;46;82;451;94;40
237;451;241;92;89;44;112;251;46;88;436;99;46
222;451;234;88;79;37;122;254;52;74;440;87;34
235;470;248;83;83;28;113;250;52;87;461;86;40
241;458;249;91;80;51;110;237;58;90;441;92;41
236;455;231;92;82;47;124;237;56;78;439;107;45
235;450;250;80;78;42;116;257;49;71;443;95;36
240;457;242;86;86;45;123;236;56;90;450;101;42
247;451;246;83;85;44;127;237;53;81;440;95;29
232;453;251;88;80;43;122;244;43;70;442;96;39
225;447;240;85;71;31;127;234;47;86;439;95;36
226;456;240;88;84;44;117;253;45;82;447;96;33
244;442;250;77;78;44;124;235;40;78;439;101;34
221;456;228;89;91;43;100;242;50;75;444;75;38
229;449;232;89;87;44;129;242;56;73;443;106;31
227;448;239;88;76;41;124;255;49;84;440;97;41
250;444;248;94;96;45;125;236;49;87;429;86;43
236;442;245;94;102;44;126;241;50;96;432;95;37
232;436;244;81;77;44;129;274;57;85;432;111;39
227;437;239;113;103;55;130;247;61;95;418;103;47
248;463;230;81;77;46;108;243;49;78;448;90;38
224;435;216;94;87;51;118;261;50;78;436;114;31
249;452;239;89;83;36;116;249;47;81;444;90;38
230;467;231;76;87;31;115;230;49;75;459;87;34
243;455;245;85;85;43;115;233;44;82;440;91;40
232;447;242;92;80;46;140;249;51;70;440;105;37
244;452;253;90;81;53;117;239;47;80;444;90;42
250;457;240;89;86;44;121;239;48;75;440;88;36
238;454;237;81;80;35;118;236;46;79;440;89;37
261;454;251;105;97;54;127;225;51;93;428;87;43
237;440;231;102;86;45;118;240;50;79;434;104;32
240;448;240;85;73;43;128;261;51;78;444;102;44
250;467;251;80;77;38;108;231;54;87;450;90;39
228;455;262;82;87;38;116;241;43;83;446;92;38
225;459;240;88;75;41;118;264;45;82;450;94;35
222;454;226;105;83;53;120;243;57;80;433;107;43
222;463;234;96;81;42;122;240;48;75;443;95;33
230;466;219;80;74;43;126;253;51;67;456;96;46
242;448;248;96;98;49;124;238;46;78;436;97;39
224;446;243;79;75;44;139;241;65;90;435;114;48
249;460;261;84;76;41;111;239;58;89;457;90;38
223;451;222;91;86;53;115;244;44;76;445;98;32
236;462;230;94;90;41;117;227;52;69;450;87;36
228;466;245;77;78;39;118;239;48;76;453;97;30
241;468;232;90;92;42;122;248;37;85;453;85;32
240;452;241;84;84;37;119;236;55;81;437;92;39
230;460;226;98;94;48;125;230;54;84;444;89;37
228;445;239;80;81;37;111;245;51;77;437;93;37
233;448;241;92;87;45;121;249;53;81;436;98;39
242;451;237;86;85;35;133;253;54;65;444;93;35
221;442;231;80;81;40;131;272;58;82;437;111;44
235;439;249;88;91;50;132;234;54;77;427;98;39
244;438;244;89;73;42;127;242;51;81;432;97;37
245;450;245;86;79;38;115;260;50;94;438;88;41
227;449;219;85;83;37;130;254;56;87;437;100;41
238;465;246;80;78;35;114;233;43;75;468;85;37
224;425;219;115;90;56;133;272;52;85;407;109;43
231;443;245;103;81;50;116;250;49;85;435;105;41
248;467;255;81;87;39;121;244;43;82;463;85;24
257;454;255;95;82;47;113;217;55;82;447;99;38
219;451;217;91;89;38;130;249;61;72;440;99;41
259;451;237;89;71;39;130;249;56;75;438;107;42
262;453;260;87;86;44;107;241;46;83;439;106;40
239;461;254;96;81;48;121;246;54;73;445;88;34
241;454;250;85;81;35;131;243;55;93;441;95;47
226;459;248;91;76;50;116;241;42;67;453;93;37
239;458;228;101;93;51;123;241;46;82;442;98;35
247;468;245;83;89;43;121;234;50;78;464;90;33
230;444;238;85;80;39;131;255;53;80;432;116;44
224;438;238;100;97;50;117;264;58;94;430;105;39
230;476;230;86;85;40;107;246;44;78;464;98;41
239;446;236;96;88;45;117;258;45;82;430;103;37
247;447;238;87;84;44;128;239;48;82;429;102;42
216;459;229;70;63;34;121;262;50;68;456;103;32
232;450;245;89;90;46;110;232;54;78;441;89;32
232;459;242;89;93;38;130;252;49;74;445;101;40
255;441;251;109;90;56;131;232;51;86;432;101;36
242;453;230;92;77;39;119;220;55;74;440;107;36
242;462;254;92;90;37;116;244;46;81;448;98;32
243;448;232;86;79;43;134;255;48;82;431;104;36
235;459;250;86;78;48;124;239;44;85;449;102;43
245;458;245;89;84;45;117;243;39;79;446;102;33
234;441;238;89;86;51;128;246;61;89;431;99;39
250;448;244;99;82;50;109;242;51;86;435;92;41
231;455;237;96;84;41;126;252;46;67;445;95;27
262;449;256;92;86;51;113;241;49;97;432;96;48
237;443;246;85;77;36;125;242;56;76;441;103;41
244;460;246;95;81;39;123;220;48;82;449;91;36
240;461;251;82;84;45;112;244;51;84;454;94;39
231;457;242;79;68;38;110;247;50;73;448;94;31
226;454;239;89;80;35;124;238;44;84;451;94;40
243;447;245;98;81;42;120;227;47;82;439;101;31
235;461;246;95;83;51;108;240;49;91;445;86;45
232;465;252;75;77;32;117;248;51;80;455;88;33
219;447;219;89;77;46;116;259;52;77;425;111;35
223;456;231;98;80;45;114;254;45;72;448;100;28
245;443;243;94;80;48;115;240;46;71;430;97;34
243;463;251;93;91;40;125;229;52;79;445;92;43
228;444;225;87;92;43;129;268;54;73;440;101;47
245;454;242;88;80;41;129;253;60;75;438;97;34
230;468;231;76;83;41;119;242;44;69;462;92;42
248;448;244;99;95;39;112;237;55;98;439;99;41
258;458;251;102;92;48;122;235;43;87;441;94;36
222;442;223;92;91;48;116;262;56;79;431;106;40
231;448;239;81;68;49;114;250;60;86;436;100;43
241;457;236;88;83;38;129;263;60;83;444;93;39
228;450;242;97;87;43;119;235;44;90;442;93;42
250;438;262;96;86;43;128;241;51;87;434;93;42
238;446;245;102;92;45;112;247;51;91;429;96;49
252;452;250;81;86;37;112;241;60;103;436;93;50
234;463;219;84;90;42;115;243;51;75;442;98;44
254;452;263;87;86;43;114;240;52;88;443;98;43
231;456;225;89;88;42;116;252;48;82;445;99;43
241;458;241;96;84;49;116;235;54;86;446;92;48
242;454;227;81;85;39;125;253;56;88;438;97;47
258;440;253;103;79;49;112;249;53;87;422;103;41
242;458;259;83;87;46;106;234;41;87;445;84;40
239;452;242;93;87;42;117;235;45;93;439;91;40
236;469;236;78;76;38;99;237;45;69;449;87;35
238;461;231;89;70;46;126;241;53;73;446;109;38
249;451;245;84;89;45;124;234;45;90;442;91;41
227;453;253;83;82;39;131;238;52;84;446;89;33
243;449;259;94;92;44;119;230;50;86;441;87;36
216;477;221;89;87;39;109;245;50;75;463;91;41
252;467;240;77;74;39;106;246;48;80;450;84;31
255;427;259;99;91;57;125;260;56;97;419;108;48
216;462;237;91;85;53;115;249;53;78;451;91;45
242;456;237;85;86;46;117;245;51;76;444;101;44
242;461;252;89;73;38;118;248;46;75;450;89;40
241;449;240;99;88;53;122;244;49;82;441;109;37
231;456;239;87;78;44;108;254;48;74;442;90;37
260;445;243;100;97;62;123;243;48;88;430;108;46
265;449;248;94;93;49;107;240;46;96;437;94;37
228;461;244;83;71;44;110;261;53;81;445;93;42
242;451;237;84;84;40;132;223;55;69;446;95;44
229;463;239;92;97;43;120;248;56;88;452;85;48
243;438;255;93;88;40;128;225;53;108;434;91;46
242;475;245;83;81;37;116;246;47;86;458;89;38
237;448;244;90;88;43;123;241;53;80;436;104;36
247;477;243;73;77;34;118;244;46;73;472;86;33
234;439;242;89;85;44;130;258;55;82;424;118;42
236;439;233;95;97;54;111;254;45;78;427;109;35
234;455;240;94;93;43;130;238;56;85;444;95;39
248;449;253;84;89;46;117;248;55;86;438;103;38
248;442;237;89;74;48;119;254;53;88;429;106;38
235;460;238;93;89;49;116;251;52;80;438;100;36
228;469;239;80;77;38;123;259;48;74;469;101;37
238;471;234;91;78;41;126;250;45;74;458;93;31
226;461;224;88;76;41;114;259;57;72;448;109;32
236;465;247;83;87;38;117;255;39;76;446;84;42
245;457;251;81;75;45;121;241;58;79;443;95;38
224;451;247;84;86;46;117;245;47;71;440;96;43
246;458;240;86;85;38;126;241;44;79;447;98;39
